#  [JENDL-5    300 K], Ra-226, MT =  16 (n,2n)
#    energy (eV)  cross sec. (b)
    3.887151e+00    3.546490e-02
    3.997606e+00    3.352594e-02
    4.111200e+00    3.172920e-02
    4.228021e+00    3.006225e-02
    4.348162e+00    2.851465e-02
    4.503040e+00    2.674408e-02
    4.663664e+00    2.512925e-02
    4.829780e+00    2.365959e-02
    5.002058e+00    2.231701e-02
    5.180227e+00    2.109284e-02
    5.365006e+00    1.997607e-02
    5.556103e+00    1.894979e-02
    5.754289e+00    1.801079e-02
    5.959252e+00    1.715163e-02
    6.215050e+00    1.621663e-02
    6.481828e+00    1.536969e-02
    6.760057e+00    1.460307e-02
    7.050230e+00    1.391273e-02
    7.352857e+00    1.328470e-02
    7.722570e+00    1.262565e-02
    8.054057e+00    1.211718e-02
    8.458612e+00    1.158440e-02
    8.883923e+00    1.110684e-02
    9.330161e+00    1.068240e-02
    9.867936e+00    1.024995e-02
    1.043671e+01    9.870257e-03
    1.103826e+01    9.538499e-03
    1.175684e+01    9.216882e-03
    1.252159e+01    8.947605e-03
    1.333673e+01    8.720112e-03
    1.420424e+01    8.542036e-03
    1.523489e+01    8.396431e-03
    1.622667e+01    8.318498e-03
    1.704174e+01    8.298025e-03
    1.805012e+01    8.334632e-03
    1.882491e+01    8.420026e-03
    1.949640e+01    8.549585e-03
    2.005040e+01    8.712810e-03
    2.047570e+01    8.890924e-03
    2.076458e+01    9.049891e-03
    2.105753e+01    9.252645e-03
    2.135461e+01    9.521895e-03
    2.158057e+01    9.782987e-03
    2.180865e+01    1.012194e-02
    2.196141e+01    1.040315e-02
    2.211633e+01    1.075075e-02
    2.223252e+01    1.106326e-02
    2.234980e+01    1.143643e-02
    2.246763e+01    1.188605e-02
    2.254618e+01    1.223771e-02
    2.262528e+01    1.264340e-02
    2.270494e+01    1.311506e-02
    2.278460e+01    1.366462e-02
    2.286426e+01    1.431099e-02
    2.292429e+01    1.487645e-02
    2.298488e+01    1.553025e-02
    2.304547e+01    1.628477e-02
    2.310605e+01    1.716252e-02
    2.314645e+01    1.783015e-02
    2.318684e+01    1.857584e-02
    2.322723e+01    1.941242e-02
    2.326713e+01    2.034345e-02
    2.330703e+01    2.139726e-02
    2.334693e+01    2.259668e-02
    2.338682e+01    2.396996e-02
    2.341342e+01    2.499937e-02
    2.344889e+01    2.653933e-02
    2.347548e+01    2.784032e-02
    2.350207e+01    2.928792e-02
    2.352867e+01    3.090536e-02
    2.355526e+01    3.272067e-02
    2.358185e+01    3.476793e-02
    2.360873e+01    3.711573e-02
    2.362665e+01    3.886255e-02
    2.364457e+01    4.077678e-02
    2.366249e+01    4.288111e-02
    2.368041e+01    4.520232e-02
    2.369833e+01    4.777222e-02
    2.371625e+01    5.062886e-02
    2.373501e+01    5.397828e-02
    2.374973e+01    5.690038e-02
    2.376444e+01    6.012352e-02
    2.377915e+01    6.369245e-02
    2.379386e+01    6.766104e-02
    2.380769e+01    7.181358e-02
    2.381975e+01    7.582151e-02
    2.383180e+01    8.024580e-02
    2.384386e+01    8.515168e-02
    2.385592e+01    9.061972e-02
    2.386797e+01    9.675138e-02
    2.387885e+01    1.029607e-01
    2.388973e+01    1.099404e-01
    2.389698e+01    1.150998e-01
    2.390424e+01    1.207338e-01
