#  [JENDL-5    300 K], B-10, MT = 107 (n,<alpha>)
#    energy (eV)  cross sec. (b)
    4.400000e+06    2.122271e-01
    4.500000e+06    1.960193e-01
    4.600000e+06    1.769943e-01
    4.700000e+06    1.600587e-01
    4.800000e+06    1.473923e-01
    4.900000e+06    1.383407e-01
    4.975000e+06    1.336495e-01
    5.000000e+06    1.321878e-01
    5.085623e+06    1.283937e-01
    5.175000e+06    1.248390e-01
    5.200000e+06    1.239331e-01
    5.300000e+06    1.192465e-01
    5.400000e+06    1.124706e-01
    5.500000e+06    1.065731e-01
    5.600000e+06    1.038501e-01
    5.800000e+06    1.015769e-01
    5.900000e+06    9.884992e-02
    6.000000e+06    9.473119e-02
    6.075000e+06    9.428680e-02
    6.100000e+06    9.407046e-02
    6.150000e+06    9.458997e-02
    6.200000e+06    9.481221e-02
    6.275000e+06    9.557740e-02
    6.344441e+06    9.584468e-02
    6.400000e+06    9.594000e-02
    6.500000e+06    9.433546e-02
    6.600000e+06    8.995994e-02
    6.675000e+06    8.581155e-02
    6.700000e+06    8.450182e-02
    6.800000e+06    7.849257e-02
    7.000000e+06    6.718416e-02
    7.500000e+06    5.244934e-02
    8.000000e+06    4.492890e-02
    8.500000e+06    4.232287e-02
    9.000000e+06    4.193445e-02
    1.000000e+07    4.284883e-02
    1.014108e+07    4.302565e-02
    1.028415e+07    4.320499e-02
    1.042925e+07    4.338686e-02
    1.057638e+07    4.357130e-02
    1.072560e+07    4.375834e-02
    1.087692e+07    4.394801e-02
    1.100000e+07    4.410230e-02
    1.115519e+07    4.441586e-02
    1.131257e+07    4.473385e-02
    1.147217e+07    4.505632e-02
    1.163402e+07    4.538334e-02
    1.179816e+07    4.571497e-02
    1.196461e+07    4.605129e-02
    1.200000e+07    4.612280e-02
    1.216930e+07    4.642005e-02
    1.234099e+07    4.672150e-02
    1.251509e+07    4.702720e-02
    1.269166e+07    4.733722e-02
    1.287072e+07    4.765160e-02
    1.300000e+07    4.787860e-02
    1.318341e+07    4.807595e-02
    1.336940e+07    4.827608e-02
    1.355802e+07    4.847903e-02
    1.374930e+07    4.868485e-02
    1.394328e+07    4.889356e-02
    1.400000e+07    4.895460e-02
    1.419751e+07    4.859947e-02
    1.439782e+07    4.823933e-02
    1.460094e+07    4.787410e-02
    1.480694e+07    4.750373e-02
    1.500000e+07    4.715660e-02
    1.521162e+07    4.652884e-02
    1.542623e+07    4.589223e-02
    1.564387e+07    4.524663e-02
    1.586457e+07    4.459193e-02
    1.600000e+07    4.419020e-02
    1.622573e+07    4.315206e-02
    1.645465e+07    4.209928e-02
    1.668679e+07    4.103164e-02
    1.692221e+07    3.994894e-02
    1.700000e+07    3.959120e-02
    1.723984e+07    3.817452e-02
    1.748306e+07    3.673785e-02
    1.772972e+07    3.528091e-02
    1.797985e+07    3.380341e-02
    1.800000e+07    3.368440e-02
    1.825395e+07    3.212277e-02
    1.851148e+07    3.053912e-02
    1.877264e+07    2.893312e-02
    1.900000e+07    2.753500e-02
    1.926806e+07    2.553630e-02
    1.953989e+07    2.350939e-02
    1.981557e+07    2.145389e-02
    2.000000e+07    2.007870e-02


